draft_year,team,analyst,grade_letter,grade_numeric,source_url
2017,SF,Silva,C+,6.0,https://www.footballoutsiders.com/nfl-draft/2017/2017-nfl-draft-report-card-report
2017,CLE,Prisco,A,11.0,https://www.footballoutsiders.com/nfl-draft/2017/2017-nfl-draft-report-card-report
2017,CLE,Iyer,A,11.0,https://www.footballoutsiders.com/nfl-draft/2017/2017-nfl-draft-report-card-report
2017,CLE,Maske,C+,6.0,https://www.footballoutsiders.com/nfl-draft/2017/2017-nfl-draft-report-card-report
2017,NE,Silva,A+,12.0,https://www.footballoutsiders.com/nfl-draft/2017/2017-nfl-draft-report-card-report
2017,IND,Iyer,B-,7.0,https://www.footballoutsiders.com/nfl-draft/2017/2017-nfl-draft-report-card-report
2017,LACH,Kiper,A,11.0,https://www.footballoutsiders.com/nfl-draft/2017/2017-nfl-draft-report-card-report
2017,LACH,Silva,C-,4.0,https://www.footballoutsiders.com/nfl-draft/2017/2017-nfl-draft-report-card-report
2017,MINN,Kadar,A,11.0,https://www.footballoutsiders.com/nfl-draft/2017/2017-nfl-draft-report-card-report
2017,MINN,Prisco,C+,6.0,https://www.footballoutsiders.com/nfl-draft/2017/2017-nfl-draft-report-card-report
2017,ARI,Prisco,A,11.0,https://www.footballoutsiders.com/nfl-draft/2017/2017-nfl-draft-report-card-report
2017,ARI,Silva,C+,6.0,https://www.footballoutsiders.com/nfl-draft/2017/2017-nfl-draft-report-card-report
2017,PHI,Iyer,A,11.0,https://www.footballoutsiders.com/nfl-draft/2017/2017-nfl-draft-report-card-report
2017,TEN,Iyer,A,11.0,https://www.footballoutsiders.com/nfl-draft/2017/2017-nfl-draft-report-card-report
2017,TEN,Kadar,B-,7.0,https://www.footballoutsiders.com/nfl-draft/2017/2017-nfl-draft-report-card-report
2017,TEN,Maske,B-,7.0,https://www.footballoutsiders.com/nfl-draft/2017/2017-nfl-draft-report-card-report
2017,TB,Kiper,A-,10.0,https://www.footballoutsiders.com/nfl-draft/2017/2017-nfl-draft-report-card-report
2017,TB,Farrar,A-,10.0,https://www.footballoutsiders.com/nfl-draft/2017/2017-nfl-draft-report-card-report
2017,TB,Iyer,C-,4.0,https://www.footballoutsiders.com/nfl-draft/2017/2017-nfl-draft-report-card-report
2017,MIA,Iyer,A-,10.0,https://www.footballoutsiders.com/nfl-draft/2017/2017-nfl-draft-report-card-report
2017,MIA,Farrar,A-,10.0,https://www.footballoutsiders.com/nfl-draft/2017/2017-nfl-draft-report-card-report
2017,MIA,Kiper,C+,6.0,https://www.footballoutsiders.com/nfl-draft/2017/2017-nfl-draft-report-card-report
2017,BUF,Kiper,A-,10.0,https://www.footballoutsiders.com/nfl-draft/2017/2017-nfl-draft-report-card-report
2017,BUF,Silva,C+,6.0,https://www.footballoutsiders.com/nfl-draft/2017/2017-nfl-draft-report-card-report
2017,GB,Prisco,A,11.0,https://www.footballoutsiders.com/nfl-draft/2017/2017-nfl-draft-report-card-report
2017,GB,Silva,C,5.0,https://www.footballoutsiders.com/nfl-draft/2017/2017-nfl-draft-report-card-report
2017,NO,Maske,A-,10.0,https://www.footballoutsiders.com/nfl-draft/2017/2017-nfl-draft-report-card-report
2017,NO,Iyer,C,5.0,https://www.footballoutsiders.com/nfl-draft/2017/2017-nfl-draft-report-card-report
2017,DAL,Farrar,A-,10.0,https://www.footballoutsiders.com/nfl-draft/2017/2017-nfl-draft-report-card-report
2017,DAL,Silva,C-,4.0,https://www.footballoutsiders.com/nfl-draft/2017/2017-nfl-draft-report-card-report
2017,DEN,Silva,C+,6.0,https://www.footballoutsiders.com/nfl-draft/2017/2017-nfl-draft-report-card-report
2017,DEN,Kadar,C+,6.0,https://www.footballoutsiders.com/nfl-draft/2017/2017-nfl-draft-report-card-report
2017,SEA,Prisco,B+,9.0,https://www.footballoutsiders.com/nfl-draft/2017/2017-nfl-draft-report-card-report
2017,SEA,Iyer,B+,9.0,https://www.footballoutsiders.com/nfl-draft/2017/2017-nfl-draft-report-card-report
2017,SEA,Kiper,C+,6.0,https://www.footballoutsiders.com/nfl-draft/2017/2017-nfl-draft-report-card-report
2017,PIT,Iyer,A-,10.0,https://www.footballoutsiders.com/nfl-draft/2017/2017-nfl-draft-report-card-report
2017,PIT,Silva,C-,4.0,https://www.footballoutsiders.com/nfl-draft/2017/2017-nfl-draft-report-card-report
2017,JAC,Maske,A-,10.0,https://www.footballoutsiders.com/nfl-draft/2017/2017-nfl-draft-report-card-report
2017,JAC,Silva,C-,4.0,https://www.footballoutsiders.com/nfl-draft/2017/2017-nfl-draft-report-card-report
2017,ATL,Prisco,B+,9.0,https://www.footballoutsiders.com/nfl-draft/2017/2017-nfl-draft-report-card-report
2017,ATL,Silva,C,5.0,https://www.footballoutsiders.com/nfl-draft/2017/2017-nfl-draft-report-card-report
2017,CAR,Iyer,C,5.0,https://www.footballoutsiders.com/nfl-draft/2017/2017-nfl-draft-report-card-report
2017,CIN,Prisco,A,11.0,https://www.footballoutsiders.com/nfl-draft/2017/2017-nfl-draft-report-card-report
2017,CIN,Iyer,D-,1.0,https://www.footballoutsiders.com/nfl-draft/2017/2017-nfl-draft-report-card-report
2017,NYG,Iyer,A-,10.0,https://www.footballoutsiders.com/nfl-draft/2017/2017-nfl-draft-report-card-report
2017,NYG,Silva,D+,3.0,https://www.footballoutsiders.com/nfl-draft/2017/2017-nfl-draft-report-card-report
2017,KC,Iyer,C-,4.0,https://www.footballoutsiders.com/nfl-draft/2017/2017-nfl-draft-report-card-report
2017,NYJ,Iyer,A-,10.0,https://www.footballoutsiders.com/nfl-draft/2017/2017-nfl-draft-report-card-report
2017,NYJ,Silva,D,2.0,https://www.footballoutsiders.com/nfl-draft/2017/2017-nfl-draft-report-card-report
2017,OAK,Silva,B,8.0,https://www.footballoutsiders.com/nfl-draft/2017/2017-nfl-draft-report-card-report
2017,OAK,Iyer,D-,1.0,https://www.footballoutsiders.com/nfl-draft/2017/2017-nfl-draft-report-card-report
2017,DET,Prisco,D,2.0,https://www.footballoutsiders.com/nfl-draft/2017/2017-nfl-draft-report-card-report
2017,LARM,Farrar,B-,7.0,https://www.footballoutsiders.com/nfl-draft/2017/2017-nfl-draft-report-card-report
2017,LARM,Maske,B-,7.0,https://www.footballoutsiders.com/nfl-draft/2017/2017-nfl-draft-report-card-report
2017,CHI,Kiper,C+,6.0,https://www.footballoutsiders.com/nfl-draft/2017/2017-nfl-draft-report-card-report
2017,CHI,Silva,F,0.0,https://www.footballoutsiders.com/nfl-draft/2017/2017-nfl-draft-report-card-report
2020,DAL,Kadar,B-,7.0,https://www.footballoutsiders.com/nfl-draft/2020/2020-nfl-draft-report-card-report
2020,MIN,Iyer,A+,12.0,https://www.footballoutsiders.com/nfl-draft/2020/2020-nfl-draft-report-card-report
2020,ARI,PFF,A+,12.0,https://www.footballoutsiders.com/nfl-draft/2020/2020-nfl-draft-report-card-report
2020,ARI,Farrar,A+,12.0,https://www.footballoutsiders.com/nfl-draft/2020/2020-nfl-draft-report-card-report
2020,ARI,Kiper,B,8.0,https://www.footballoutsiders.com/nfl-draft/2020/2020-nfl-draft-report-card-report
2020,ARI,Maske,B,8.0,https://www.footballoutsiders.com/nfl-draft/2020/2020-nfl-draft-report-card-report
2020,BAL,Iyer,A+,12.0,https://www.footballoutsiders.com/nfl-draft/2020/2020-nfl-draft-report-card-report
2020,BAL,Rill,A+,12.0,https://www.footballoutsiders.com/nfl-draft/2020/2020-nfl-draft-report-card-report
2020,BAL,Silva,C-,4.0,https://www.footballoutsiders.com/nfl-draft/2020/2020-nfl-draft-report-card-report
2020,BAL,Tagliere,C-,4.0,https://www.footballoutsiders.com/nfl-draft/2020/2020-nfl-draft-report-card-report
2020,CIN,Farrar,B,8.0,https://www.footballoutsiders.com/nfl-draft/2020/2020-nfl-draft-report-card-report
2020,DEN,PFF,A+,12.0,https://www.footballoutsiders.com/nfl-draft/2020/2020-nfl-draft-report-card-report
2020,DEN,Kiper,C+,6.0,https://www.footballoutsiders.com/nfl-draft/2020/2020-nfl-draft-report-card-report
2020,CLE,PFF,A+,12.0,https://www.footballoutsiders.com/nfl-draft/2020/2020-nfl-draft-report-card-report
2020,CLE,Prisco,B-,7.0,https://www.footballoutsiders.com/nfl-draft/2020/2020-nfl-draft-report-card-report
2020,TB,Prisco,B-,7.0,https://www.footballoutsiders.com/nfl-draft/2020/2020-nfl-draft-report-card-report
2020,NYJ,Farrar,A+,12.0,https://www.footballoutsiders.com/nfl-draft/2020/2020-nfl-draft-report-card-report
2020,NYJ,Edholm,B-,7.0,https://www.footballoutsiders.com/nfl-draft/2020/2020-nfl-draft-report-card-report
2020,JAX,Davis,C+,6.0,https://www.footballoutsiders.com/nfl-draft/2020/2020-nfl-draft-report-card-report
2020,MIA,Davis,C,5.0,https://www.footballoutsiders.com/nfl-draft/2020/2020-nfl-draft-report-card-report
2020,CAR,Prisco,A,11.0,https://www.footballoutsiders.com/nfl-draft/2020/2020-nfl-draft-report-card-report
2020,CAR,Iyer,A,11.0,https://www.footballoutsiders.com/nfl-draft/2020/2020-nfl-draft-report-card-report
2020,CAR,Edholm,C+,6.0,https://www.footballoutsiders.com/nfl-draft/2020/2020-nfl-draft-report-card-report
2020,IND,Davis,A,11.0,https://www.footballoutsiders.com/nfl-draft/2020/2020-nfl-draft-report-card-report
2020,IND,Easterling,C,5.0,https://www.footballoutsiders.com/nfl-draft/2020/2020-nfl-draft-report-card-report
2020,BUF,Tagliere,C-,4.0,https://www.footballoutsiders.com/nfl-draft/2020/2020-nfl-draft-report-card-report
2020,DET,Winks,D,2.0,https://www.footballoutsiders.com/nfl-draft/2020/2020-nfl-draft-report-card-report
2020,SF,Maske,A,11.0,https://www.footballoutsiders.com/nfl-draft/2020/2020-nfl-draft-report-card-report
